# Guess for Rs	Radial constraint	Angular constraint
1.92133e+07	-87035.9	4.6922e+09
1.92487e+07	-86875.6	4.68353e+09
1.92842e+07	-86715.9	4.67489e+09
1.93196e+07	-86556.8	4.66629e+09
1.93551e+07	-86398.3	4.65772e+09
1.93905e+07	-86240.3	4.64918e+09
1.9426e+07	-86083	4.64067e+09
1.94614e+07	-85926.2	4.63219e+09
1.94969e+07	-85769.9	4.62374e+09
1.95323e+07	-85614.3	4.61532e+09
1.95678e+07	-85459.2	4.60694e+09
1.96032e+07	-85304.6	4.59858e+09
1.96387e+07	-85150.7	4.59026e+09
1.96741e+07	-84997.2	4.58196e+09
1.97096e+07	-84844.4	4.57369e+09
1.9745e+07	-84692	4.56546e+09
1.97805e+07	-84540.3	4.55725e+09
1.98159e+07	-84389	4.54908e+09
1.98514e+07	-84238.3	4.54093e+09
1.98868e+07	-84088.2	4.53281e+09
1.99223e+07	-83938.6	4.52472e+09
1.99577e+07	-83789.5	4.51666e+09
1.99932e+07	-83640.9	4.50863e+09
2.00286e+07	-83492.9	4.50062e+09
2.00641e+07	-83345.4	4.49265e+09
2.00995e+07	-83198.4	4.4847e+09
2.0135e+07	-83051.9	4.47678e+09
2.01704e+07	-82905.9	4.46889e+09
2.02058e+07	-82760.5	4.46103e+09
2.02413e+07	-82615.5	4.45319e+09
2.02767e+07	-82471.1	4.44539e+09
2.03122e+07	-82327.2	4.43761e+09
2.03476e+07	-82183.7	4.42985e+09
2.03831e+07	-82040.8	4.42213e+09
2.04185e+07	-81898.4	4.41443e+09
2.0454e+07	-81756.4	4.40675e+09
2.04894e+07	-81615	4.39911e+09
2.05249e+07	-81474	4.39149e+09
2.05603e+07	-81333.6	4.38389e+09
2.05958e+07	-81193.6	4.37633e+09
2.06312e+07	-81054.1	4.36879e+09
2.06667e+07	-80915	4.36127e+09
2.07021e+07	-80776.5	4.35378e+09
2.07376e+07	-80638.4	4.34632e+09
2.0773e+07	-80500.8	4.33888e+09
2.08085e+07	-80363.7	4.33147e+09
2.08439e+07	-80227	4.32408e+09
2.08794e+07	-80090.8	4.31672e+09
2.09148e+07	-79955	4.30938e+09
2.09503e+07	-79819.7	4.30207e+09
2.09857e+07	-79684.9	4.29478e+09
2.10212e+07	-79550.5	4.28752e+09
2.10566e+07	-79416.6	4.28028e+09
2.10921e+07	-79283.1	4.27307e+09
2.11275e+07	-79150.1	4.26588e+09
2.1163e+07	-79017.5	4.25871e+09
2.11984e+07	-78885.4	4.25157e+09
2.12339e+07	-78753.7	4.24445e+09
2.12693e+07	-78622.4	4.23736e+09
2.13048e+07	-78491.6	4.23029e+09
2.13402e+07	-78361.2	4.22324e+09
2.13757e+07	-78231.3	4.21622e+09
2.14111e+07	-78101.8	4.20922e+09
2.14466e+07	-77972.7	4.20224e+09
2.1482e+07	-77844	4.19529e+09
2.15175e+07	-77715.8	4.18836e+09
2.15529e+07	-77587.9	4.18145e+09
2.15884e+07	-77460.5	4.17457e+09
2.16238e+07	-77333.6	4.1677e+09
2.16593e+07	-77207	4.16086e+09
2.16947e+07	-77080.8	4.15405e+09
2.17301e+07	-76955.1	4.14725e+09
2.17656e+07	-76829.8	4.14048e+09
2.1801e+07	-76704.8	4.13373e+09
2.18365e+07	-76580.3	4.127e+09
2.18719e+07	-76456.2	4.12029e+09
2.19074e+07	-76332.5	4.11361e+09
2.19428e+07	-76209.2	4.10694e+09
2.19783e+07	-76086.2	4.1003e+09
2.20137e+07	-75963.7	4.09368e+09
2.20492e+07	-75841.6	4.08708e+09
2.20846e+07	-75719.9	4.0805e+09
2.21201e+07	-75598.5	4.07395e+09
2.21555e+07	-75477.6	4.06741e+09
2.2191e+07	-75357	4.0609e+09
2.22264e+07	-75236.8	4.0544e+09
2.22619e+07	-75117	4.04793e+09
2.22973e+07	-74997.6	4.04148e+09
2.23328e+07	-74878.5	4.03504e+09
2.23682e+07	-74759.9	4.02863e+09
2.24037e+07	-74641.6	4.02224e+09
2.24391e+07	-74523.6	4.01587e+09
2.24746e+07	-74406.1	4.00952e+09
2.251e+07	-74288.9	4.00319e+09
2.25455e+07	-74172.1	3.99688e+09
2.25809e+07	-74055.7	3.99059e+09
2.26164e+07	-73939.6	3.98432e+09
2.26518e+07	-73823.9	3.97806e+09
2.26873e+07	-73708.5	3.97183e+09
